MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
"","","","","","",84322WH,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,84322WH,84322WH,84322WH Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",84322WH,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 84322WH, Industrial Duty",KICH MTL COD,Kichler 84322WH Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 84322WH Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52404BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52404BK,52404BK,52404BK Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52404BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52404BK, Industrial Duty",KICH MTL COD,Kichler 52404BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52404BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",34686A,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,34686A,34686A,34686A Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",34686A,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 34686A, Industrial Duty",KICH MTL COD,Kichler 34686A Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 34686A Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",34687A,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,34687A,34687A,34687A Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",34687A,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 34687A, Industrial Duty",KICH MTL COD,Kichler 34687A Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 34687A Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",34688A,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,34688A,34688A,34688A Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Kichler Lighting LLC,Kichler,"",34688A,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 34688A, Industrial Duty",KICH MTL COD,Kichler 34688A Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 34688A Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",43671BKCLR,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,43671BKCLR,43671BKCLR,43671BKCLR Kichler Chand Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",43671BKCLR,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 43671BKCLR, Industrial Duty",KICH MTL COD,Kichler 43671BKCLR Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 43671BKCLR Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52616BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52616BK,52616BK,52616BK Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52616BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52616BK, Industrial Duty",KICH MTL COD,Kichler 52616BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52616BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52616NI,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52616NI,52616NI,52616NI Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52616NI,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52616NI, Industrial Duty",KICH MTL COD,Kichler 52616NI Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52616NI Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52678BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52678BK,52678BK,52678BK Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52678BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52678BK, Industrial Duty",KICH MTL COD,Kichler 52678BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52678BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52680CPZ,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52680CPZ,52680CPZ,52680CPZ Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52680CPZ,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52680CPZ, Industrial Duty",KICH MTL COD,Kichler 52680CPZ Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52680CPZ Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",52772BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,52772BK,52772BK,52772BK Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",52772BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 52772BK, Industrial Duty",KICH MTL COD,Kichler 52772BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 52772BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",82399,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,82399,82399,82399 Kichler Chandelier Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",82399,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 82399, Industrial Duty",KICH MTL COD,Kichler 82399 Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 82399 Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",65-771R3,Abrasives,Abrasive Wheels & Discs,Cut-Off Wheels,65-771R3,65-771R3,65-771R3 Nuvo Highbay Light,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573),"Satco Products, Inc.",Satco,"",65-771R3,"",Abrasives & Cutting Tools > Abrasives > Cut-Off Wheels,"Satco Products, Inc., Cut-Off Disc, 65-771R3, Industrial Duty",SATC MTL COD,Satco 65-771R3 Cut-Off Disc,"Satco Cut-Off Disc, Aluminum Oxide Construction, Designed for Metal Cutting.",Satco 65-771R3 Cut-Off Disc,"Engineered for industrial professionals, the Satco Cut-Off Disc offers superior durability and performance in demanding metal cutting operations.","","","","","","","","","","","","","","","","","","","","","","","",Metal Cutting,"",Cut-Off Disc,Material,Aluminum Oxide,"",Application,Metal Cutting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31191600,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",42955BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,42955BK,42955BK,42955BK Kichler Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",42955BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 42955BK, Industrial Duty",KICH MTL COD,Kichler 42955BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 42955BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",42275BK,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,42275BK,42275BK,42275BK Kichler Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI),Kichler Lighting LLC,Kichler,"",42275BK,"",Electrical & Lighting > Lamps & Fixtures > LED,"Kichler Lighting LLC, Lighting Fixture, 42275BK, Industrial Duty",KICH MTL COD,Kichler 42275BK Lighting Fixture,"Kichler Lighting Fixture, Glass Construction, Designed for Commercial Lighting.",Kichler 42275BK Lighting Fixture,"Engineered for industrial professionals, the Kichler Lighting Fixture offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",Lighting Fixture,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",62-1850,Electrical & Lighting,Luminaires & Lamps,LED Lamps & Fixtures,62-1850,62-1850,"62-1850 11"" Led Ceiling Light",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573),"Satco Products, Inc.",Satco,"",62-1850,"",Electrical & Lighting > Lamps & Fixtures > LED,"Satco Products, Inc., LED Light Bulb, 62-1850, 11 in, Industrial Duty",SATC 11IN MTL COD,Satco 62-1850 11 in LED Light Bulb,"Satco LED Light Bulb, 11 in Dia, Glass Construction, Designed for Commercial Lighting.",Satco 62-1850 11 in LED Light Bulb,"Engineered for industrial professionals, the Satco LED Light Bulb offers superior durability and performance in demanding commercial lighting operations.",High-efficiency LED output,Long rated operating life,Standard base compatibility,"","","","","","","","","","","","","","","","","","","","",Commercial Lighting,"",LED Light Bulb,Diameter,11,in,Material,Glass,"",Application,Commercial Lighting,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39112102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
